Year,Age,Total1,Mortalitycount
1933,0,1999833.81,121053.88
1933,1,2104584.31,19246.29
1933,2,2210570.95,9476.97
1933,3,2243040.9,6921.47
1933,4,2310138.05,5426.43
1933,5,2397155.7,4677.4
1933,6,2429506.89,4277.46
1933,7,2449392.09,3924.37
1933,8,2480006.48,3618.17
1933,9,2485608.4,3358.84
1933,10,2506348.04,3163.43
1933,11,2517843.9,3100.14
1933,12,2473596.23,3186.02
1933,13,2424854.74,3421.09
1933,14,2385789.93,3805.34
1933,15,2357300.96,4311.84
1933,16,2340973.72,4832.96
1933,17,2329232.81,5341.79
1933,18,2315358.06,5838.31
1933,19,2298513.44,6322.54
1933,20,2277016.53,6780.2
1933,21,2250207.47,7154.15
1933,22,2220442.75,7430.13
1933,23,2190390.28,7608.15
1933,24,2159420.98,7688.19
1933,25,2125527.75,7689.05
1933,26,2088488.44,7685.94
1933,27,2050124.55,7697.65
1933,28,2012277.65,7724.15
1933,29,1975377.22,7765.49
1933,30,1939610.67,7831.99
1933,31,1905452.92,7965.03
1933,32,1872385.6,8174.96
1933,33,1838202.08,8461.77
1933,34,1807565.76,8825.46
1933,35,1791432.36,9249.43
1933,36,1792063.57,9667.26
1933,37,1800453.98,10062.32
1933,38,1810082.27,10434.64
1933,39,1813846.87,10784.19
1933,40,1797753.59,11121.55
1933,41,1757328.25,11488.93
1933,42,1704319.19,11896.91
1933,43,1649102.06,12345.49
1933,44,1594454.71,12834.64
1933,45,1544797.24,13359.83
1933,46,1502038.82,13902.82
1933,47,1461700.43,14459.04
1933,48,1419418.67,15028.5
1933,49,1375889.76,15611.22
1933,50,1332930.56,16191.94
1933,51,1290939.68,16709.86
1933,52,1249506.97,17149.74
1933,53,1208624.91,17511.57
1933,54,1167146.26,17795.37
1933,55,1122486.12,18042.23
1933,56,1074061.35,18416.48
1933,57,1024018.66,18959.23
1933,58,973925.93,19670.5
1933,59,925125.19,20550.25
1933,60,880331.9,21534.98
1933,61,840125.92,22370.64
1933,62,802217.03,22993.71
1933,63,765028.8,23404.2
1933,64,727601.85,23602.09
1933,65,688010.64,23653.84
1933,66,645750.79,23825.12
1933,67,602628.59,24182.38
1933,68,559971.01,24725.62
1933,69,518719.92,25454.8
1933,70,480780.98,26278.56
1933,71,446557.84,26831.29
1933,72,414518.59,27021.58
1933,73,383427.38,26849.45
1933,74,355566.14,26314.87
1933,75,324656.79,25465.42
1933,76,288148.94,24491.26
1933,77,252885.2,23439.96
1933,78,219859.93,22311.49
1933,79,189850.71,21105.9
1933,80,165127.92,19821.75
1933,81,141144.47,18453.5
1933,82,119952.84,16999.74
1933,83,100822.81,15460.49
1933,84,83618.31,13835.75
1933,85,68323.5,12155.8
1933,86,55048.18,10541.83
1933,87,43731.29,9024.14
1933,88,34274.81,7602.69
1933,89,26481.64,6277.53
1933,90,20165.99,5059.02
1933,91,15232.42,3988.58
1933,92,11359.04,3076.59
1933,93,8372.26,2323.08
1933,94,6107.44,1728.01
1933,95,4417.12,1278.76
1933,96,3164.82,924.75
1933,97,2317.81,653.35
1933,98,1774.99,464.55
1933,99,1399.71,358.35
1933,100,1009.28,366.16
1933,101,692.9,261.04
1933,102,467.57,183.53
1933,103,310.94,127.23
1933,104,204.94,86.96
1933,105,132.17,58.58
1933,106,84.42,38.9
1933,107,53.58,25.46
1933,108,33.2,16.43
1933,109,19.81,10.44
1933,110,21.5,14.81
